Time,Centre position X,Centre position Y
0.000,,
0.210,333,143
0.330,332,146
0.450,331,152
0.570,332,155
0.690,330,161
0.810,327,170
0.930,328,174
1.040,329,177
1.160,330,178
1.270,330,180
1.390,331,188
1.500,333,195
1.610,333,203
1.730,334,210
1.850,335,216
1.970,335,217
2.090,335,218
2.210,334,218
2.330,332,221
2.450,331,224
2.560,330,226
2.670,330,231
2.780,328,238
2.890,327,242
3.000,326,243
3.130,326,243
3.250,325,245
3.360,323,247
3.470,319,248
3.580,314,249
3.700,310,251
3.820,311,250
3.940,316,249
4.060,317,250
4.190,317,249
4.290,317,249
4.410,318,249
4.530,319,248
4.650,320,249
4.760,321,250
4.880,321,251
4.990,322,252
5.100,323,253
5.220,324,255
5.330,326,257
5.450,327,259
5.560,327,261
5.670,328,262
5.790,328,262
5.900,328,261
6.020,328,261
6.140,329,261
6.250,330,261
6.370,331,261
6.490,331,261
6.600,331,261
6.710,331,261
6.820,331,261
6.940,331,260
7.060,326,259
7.180,325,261
7.300,325,261
7.410,325,262
7.530,325,261
7.640,325,261
7.770,325,259
7.890,325,256
7.990,326,255
8.110,328,254
8.220,328,253
8.340,326,253
8.470,322,252
8.580,315,252
8.690,309,252
8.790,303,252
8.910,297,250
9.030,295,249
9.150,295,248
9.270,294,249
9.370,292,250
9.490,285,251
9.600,277,250
9.720,270,250
9.830,263,251
9.940,253,250
10.060,245,249
10.170,238,248
10.290,233,247
10.410,230,248
10.530,232,248
10.650,241,248
10.770,244,249
10.880,244,248
10.990,244,248
11.110,245,249
11.230,247,250
11.340,249,251
11.460,250,249
11.570,254,249
11.690,258,249
11.810,263,249
11.920,269,249
12.040,268,250
12.150,269,250
12.260,270,250
12.380,268,250
12.490,267,250
12.610,268,250
12.720,268,251
12.850,268,251
12.960,266,249
13.070,266,249
13.180,271,249
13.300,281,248
13.420,286,248
13.540,293,246
13.660,294,246
13.770,295,246
13.890,294,247
14.010,293,247
14.130,293,247
14.240,293,248
14.370,300,249
14.480,305,248
14.600,309,247
14.710,313,248
14.830,314,248
14.940,313,248
15.060,312,247
15.190,315,247
15.310,317,246
15.420,316,246
15.540,317,246
15.650,317,246
15.760,317,245
15.880,316,246
16.000,313,247
16.130,313,249
16.250,314,250
16.370,316,251
16.490,318,251
16.620,314,250
16.720,313,248
16.840,316,247
16.950,319,246
17.070,322,245
17.190,322,244
17.310,323,244
17.430,323,244
17.550,320,245
17.660,320,245
17.780,319,245
17.900,319,245
18.010,319,244
18.120,320,243
18.240,320,242
18.350,319,242
18.460,320,242
18.570,320,243
18.690,318,245
18.800,317,247
18.920,318,249
19.040,317,250
19.160,319,251
19.270,322,253
19.380,326,255
19.500,328,256
19.610,329,258
19.740,329,258
19.850,328,258
19.960,328,258
20.070,325,256
20.180,325,257
20.300,326,260
20.410,325,261
20.520,325,262
20.640,324,262
20.770,324,262
20.900,324,262
21.010,324,261
21.130,324,261
21.240,325,258
21.360,324,256
21.470,323,255
21.590,322,254
21.710,323,252
21.830,325,251
21.960,328,250
22.080,332,250
22.190,336,249
22.300,338,248
22.410,338,248
22.530,335,249
22.650,333,248
22.760,333,247
22.870,333,246
22.990,333,245
23.100,333,244
23.220,333,243
23.330,333,242
23.450,333,242
23.560,332,242
23.680,332,241
23.800,332,241
23.930,332,241
24.050,331,242
24.160,332,243
