Time,Centre position X,Centre position Y
0.000,,
0.250,290,250
0.370,287,249
0.490,287,249
0.590,283,248
0.700,279,248
0.820,275,248
0.940,275,248
1.050,279,248
1.170,281,248
1.280,283,245
1.390,283,245
1.500,284,241
1.620,285,240
1.740,285,240
1.850,285,240
1.970,285,240
2.090,285,243
2.200,285,244
2.320,284,245
2.430,279,247
2.540,279,247
2.650,271,249
2.770,260,249
2.890,247,251
3.010,233,251
3.130,217,251
3.250,203,249
3.360,190,247
3.490,180,247
3.590,172,247
3.710,172,247
3.820,170,248
3.930,175,247
4.050,173,247
4.170,175,248
4.280,175,249
4.400,175,250
4.510,175,250
4.630,174,251
4.740,174,251
4.850,173,252
4.960,172,253
5.080,171,253
5.200,172,252
5.310,174,251
5.440,176,251
5.560,182,252
5.670,195,252
5.790,213,254
5.910,229,254
6.030,241,254
6.150,251,254
6.270,251,254
6.390,259,254
6.510,262,255
6.630,264,256
6.740,264,256
6.860,263,256
6.980,263,255
7.100,264,255
7.210,266,254
7.330,272,253
7.450,273,253
7.570,275,253
7.680,276,253
7.790,279,251
7.910,281,249
8.030,283,247
8.140,285,246
8.260,287,244
8.370,286,243
8.490,286,243
8.610,286,243
8.740,285,244
8.850,281,247
8.960,281,247
9.080,280,250
9.200,279,251
9.310,280,251
9.430,281,252
9.540,282,252
9.670,286,256
9.770,286,258
9.890,286,258
10.010,285,257
10.110,285,257
10.230,283,255
10.340,283,255
10.450,283,255
10.570,284,255
10.680,284,255
10.800,284,255
10.910,283,255
11.030,284,255
11.140,285,256
11.250,285,256
11.360,284,255
11.490,285,255
11.610,285,256
11.720,285,256
11.840,285,256
11.950,285,255
12.070,283,254
12.200,283,253
12.320,283,252
12.440,286,250
12.560,286,249
12.690,286,249
12.810,288,246
12.940,289,244
13.060,287,245
13.180,287,245
13.290,284,248
13.410,282,250
13.520,281,252
13.620,281,253
13.740,282,253
13.840,282,253
13.950,282,253
14.060,284,255
14.180,285,256
14.290,286,257
14.410,287,259
14.530,287,262
14.650,287,262
14.760,287,262
14.870,287,263
14.990,287,263
15.110,287,263
15.230,286,262
15.340,285,260
15.460,282,257
15.570,281,256
15.690,282,254
15.810,283,253
15.920,284,252
16.030,284,252
16.150,284,252
16.260,286,249
16.370,287,245
16.480,288,243
16.600,288,244
16.720,285,248
16.840,282,251
16.950,282,252
17.060,281,252
17.180,283,253
17.300,286,252
17.440,316,258
17.620,324,258
17.730,338,257
17.850,354,256
17.960,372,255
18.080,388,255
18.190,388,255
18.300,402,254
18.410,411,255
18.540,415,256
18.660,419,257
18.770,423,257
18.890,425,256
19.010,426,255
19.130,427,254
19.240,428,253
19.360,429,252
19.480,429,252
19.590,429,252
19.710,430,254
19.820,429,255
19.940,430,256
20.050,430,256
20.170,432,257
20.280,431,257
20.410,428,256
20.520,426,255
20.630,427,256
20.750,427,256
20.860,429,255
20.980,425,254
21.100,415,251
21.220,400,250
21.330,384,249
21.450,367,249
21.560,349,249
21.670,338,249
21.790,332,248
21.900,332,248
22.020,326,249
22.140,322,249
22.250,319,250
22.370,316,252
22.480,316,252
22.590,314,253
22.700,314,252
22.820,314,252
22.940,314,252
23.060,314,252
23.180,315,252
23.300,315,252
23.420,315,251
23.540,316,250
23.650,315,250
23.760,314,249
23.860,313,249
23.980,305,247
24.100,293,246
24.220,290,244
24.340,289,244
24.450,289,244
24.570,289,244
24.690,288,244
24.800,285,245
24.910,280,246
25.030,267,248
25.140,248,250
25.250,229,250
25.370,211,250
25.480,211,250
25.600,198,249
25.710,188,247
25.830,179,246
25.950,171,245
26.070,165,245
26.190,167,246
26.300,171,248
26.410,170,249
26.530,170,250
26.640,170,250
26.760,171,250
26.870,173,249
26.980,172,248
27.100,171,247
27.220,171,246
27.330,171,246
27.440,173,248
27.560,174,248
27.680,177,247
27.790,177,247
27.910,185,246
28.020,199,247
28.130,215,249
28.240,229,251
28.370,242,253
28.480,252,253
28.610,259,254
28.720,264,254
28.830,264,254
28.950,266,254
29.070,267,254
29.180,269,254
29.310,272,254
29.430,275,255
29.540,276,254
29.660,277,254
29.780,278,253
29.900,282,250
30.010,284,249
30.130,284,248
30.250,286,246
30.370,286,246
30.480,287,243
30.600,287,241
30.720,286,243
30.840,287,243
30.940,286,243
31.050,287,242
31.160,288,242
31.270,288,241
31.380,288,241
31.500,288,241
31.610,288,241
31.720,287,241
31.850,287,241
31.960,286,242
32.080,285,243
32.190,284,245
32.310,285,243
32.430,284,240
32.540,284,240
32.670,283,238
32.780,282,237
32.890,282,238
33.010,282,239
33.120,282,240
33.240,281,240
33.360,281,240
33.470,281,240
33.580,281,240
33.690,281,240
33.800,281,240
33.920,281,240
34.040,281,239
34.150,281,236
34.260,282,236
34.380,282,236
34.500,281,237
34.610,281,237
34.730,281,236
34.840,281,236
34.970,282,236
35.090,281,235
35.200,282,237
35.310,282,240
35.440,282,241
35.550,281,241
35.670,282,240
35.790,282,240
35.910,282,240
36.030,282,240
36.150,282,240
36.280,282,240
36.400,282,240
36.510,282,240
36.620,282,240
36.740,282,240
36.860,283,239
36.970,283,239
37.100,284,241
37.210,284,244
37.320,285,245
37.450,286,245
37.560,287,246
37.680,292,247
37.790,292,247
37.900,308,248
38.010,319,252
38.120,333,256
38.240,349,256
38.360,363,256
38.480,377,256
38.600,390,256
38.720,405,255
38.830,416,256
38.950,416,256
39.060,422,256
39.190,423,256
39.310,425,256
39.430,428,256
39.550,427,256
39.660,428,256
39.790,427,255
39.910,424,255
40.030,423,256
40.150,424,255
40.260,420,254
40.380,407,251
40.500,392,251
40.620,374,252
40.730,374,252
40.840,355,253
40.950,340,252
41.070,329,251
41.170,320,250
41.290,315,248
41.410,309,247
41.540,297,247
41.650,297,247
41.770,288,247
41.880,286,249
41.990,284,252
42.100,284,252
42.210,284,253
42.320,284,257
42.440,283,260
42.550,283,261
42.670,283,261
42.790,283,262
42.910,282,262
43.030,282,262
43.150,282,263
43.270,282,263
43.380,282,263
43.490,282,263
43.610,283,261
43.720,284,261
43.840,285,264
43.960,286,267
44.070,286,267
44.180,287,268
44.300,287,267
44.420,288,266
44.530,291,266
44.650,292,267
44.760,293,267
44.870,293,268
44.990,294,267
45.100,294,267
45.220,294,266
45.330,295,265
45.450,295,266
45.560,295,266
45.670,295,266
45.870,295,265
45.980,295,265
46.100,295,265
46.220,295,265
46.330,295,265
46.440,295,267
46.550,295,268
46.660,295,270
46.780,295,270
46.900,295,270
47.010,295,270
47.130,294,269
47.240,293,266
47.360,292,264
47.470,288,259
47.590,284,256
47.710,282,255
47.820,282,253
47.940,277,251
48.050,277,251
48.170,270,250
48.280,258,248
48.400,246,247
48.510,239,246
48.630,233,247
48.750,225,245
48.860,215,247
48.970,199,247
49.090,188,247
49.210,179,247
49.330,179,247
49.440,171,246
49.560,164,246
49.660,159,246
49.780,157,246
49.890,157,246
50.000,157,246
50.120,156,245
50.240,156,245
50.350,156,245
50.460,154,246
50.580,152,247
50.690,151,248
50.810,151,248
50.930,154,247
51.050,155,247
51.170,156,247
51.280,160,250
51.390,170,251
51.510,184,253
51.630,184,253
51.760,201,252
51.870,220,252
51.990,234,251
52.100,245,251
52.220,256,251
52.330,266,250
52.450,270,250
52.560,271,250
52.680,274,250
52.790,277,248
52.910,277,248
53.020,279,245
53.130,278,245
53.260,277,244
53.380,277,246
53.490,277,246
53.610,277,246
53.720,277,245
53.830,277,243
53.950,277,243
54.070,277,242
54.190,277,242
54.320,278,240
54.430,278,239
54.550,278,240
54.660,277,243
54.780,276,245
54.890,278,246
55.010,280,248
55.130,285,248
55.390,315,254
55.500,329,256
55.620,346,256
55.730,346,256
55.850,363,256
55.980,379,255
56.090,396,254
56.210,410,254
56.320,419,254
56.440,420,255
56.550,417,256
56.670,418,254
56.780,419,254
56.890,419,254
57.000,419,254
57.130,418,252
57.240,419,251
57.420,416,249
57.530,416,249
57.650,416,249
57.770,415,249
57.890,416,250
58.000,419,253
58.120,417,254
58.240,412,250
58.360,401,250
58.470,386,248
58.590,372,249
58.700,355,250
58.810,355,250
58.940,340,251
59.070,328,251
59.180,321,251
59.300,315,251
59.420,312,249
59.770,289,260
59.880,292,259
60.000,293,259
60.110,292,259
60.220,290,261
60.330,291,259
60.480,289,265
60.590,291,266
60.710,291,265
60.820,291,265
60.940,291,265
61.060,291,265
61.170,293,264
61.290,294,266
61.410,295,268
61.530,295,269
61.640,294,269
61.760,294,269
61.880,294,270
62.000,294,269
62.110,294,269
62.230,295,269
62.340,295,270
62.450,295,271
62.570,295,272
62.690,295,271
62.800,294,268
62.920,293,268
63.040,293,268
63.150,290,270
63.270,288,271
63.380,288,270
63.500,286,268
63.620,286,268
63.740,286,267
63.850,285,267
63.970,284,266
64.070,285,266
64.180,285,266
64.300,285,266
64.410,286,266
64.520,286,265
64.640,286,266
64.750,285,267
64.860,285,268
64.990,285,268
65.100,284,268
65.220,284,268
65.350,285,268
65.460,285,268
65.580,285,267
65.690,286,267
65.790,288,266
65.910,287,266
66.030,287,267
66.140,286,267
66.250,286,268
66.370,285,269
66.500,285,269
66.620,285,269
66.730,285,269
66.850,285,269
66.960,286,268
67.090,287,270
67.200,287,273
67.320,286,276
67.430,285,278
67.540,285,278
67.650,285,280
67.760,285,280
67.870,287,277
67.990,287,275
68.090,289,271
68.210,291,271
68.320,292,272
68.440,293,272
68.560,293,272
68.680,293,272
68.800,294,272
68.920,294,272
69.030,294,271
69.140,294,270
69.260,294,270
69.390,294,269
69.500,293,268
69.620,292,266
69.730,290,264
69.850,288,262
69.960,288,262
70.080,289,260
70.200,295,257
70.320,307,253
70.440,307,252
70.560,304,251
70.670,301,249
70.790,300,247
70.910,297,242
71.020,296,240
71.130,296,239
71.250,296,239
71.360,296,239
71.480,296,242
71.600,295,244
71.710,291,243
71.830,289,243
71.950,288,242
72.060,288,241
72.180,288,240
72.280,287,239
72.400,287,239
72.520,287,239
72.640,287,239
72.750,287,239
72.860,287,239
72.970,287,239
73.080,287,239
73.200,288,240
73.320,289,241
73.440,290,245
73.560,287,247
73.680,287,247
73.790,284,251
73.900,283,251
74.010,283,253
74.130,283,254
74.240,283,256
74.360,283,258
74.490,283,261
74.600,283,261
74.720,283,261
74.840,283,261
74.950,283,261
75.060,284,259
75.180,285,256
75.310,285,256
75.420,285,255
75.540,284,255
75.660,284,255
75.770,284,255
75.880,284,255
76.000,284,255
76.110,284,255
76.230,284,256
76.350,285,255
76.460,286,253
76.570,285,251
76.690,283,250
76.810,282,249
76.930,283,248
77.050,284,246
77.160,285,244
77.280,285,244
77.390,285,244
77.500,285,242
77.630,285,240
77.750,285,239
77.870,285,238
78.000,285,238
78.110,287,239
78.230,287,240
78.350,287,241
78.480,287,240
78.590,286,240
78.710,286,240
78.820,287,240
78.940,287,240
79.050,287,240
79.170,287,242
79.280,286,243
79.390,286,244
79.510,285,245
79.620,284,245
79.750,285,245
79.860,284,245
79.980,285,245
80.110,286,245
80.230,286,246
80.350,286,246
80.470,284,247
80.590,280,248
80.700,279,248
80.810,279,250
80.920,280,251
81.030,281,252
81.160,281,252
81.280,281,252
81.400,281,252
81.510,282,252
81.640,283,253
81.760,283,253
81.870,282,254
81.980,281,253
82.110,281,254
82.230,281,254
82.340,281,254
82.450,280,255
82.560,280,255
82.690,281,255
82.800,281,254
82.910,281,254
83.040,282,252
83.150,282,252
83.280,282,255
83.390,282,260
83.500,281,262
83.630,281,261
83.740,282,259
83.850,281,260
83.970,281,261
84.080,281,261
84.180,281,261
84.300,281,261
84.410,282,260
84.530,283,258
84.640,285,259
84.760,286,261
84.880,287,262
84.990,288,263
85.110,290,263
85.220,290,263
85.340,290,263
85.460,291,264
85.580,291,263
85.690,291,264
85.820,291,263
85.940,290,263
86.060,290,263
86.170,291,263
86.290,291,263
86.400,290,263
86.520,291,263
86.630,290,263
86.750,290,263
86.860,290,263
86.990,290,264
87.150,285,257
87.260,286,258
87.370,283,254
87.490,284,253
87.600,288,250
87.710,290,248
87.830,292,247
87.940,291,243
88.060,291,238
88.180,291,235
88.290,291,235
88.400,292,235
88.520,292,234
88.630,292,235
88.750,292,235
88.860,292,234
88.980,293,232
89.100,293,233
89.220,292,234
89.340,293,234
89.460,293,233
89.580,292,233
89.700,292,234
89.830,292,235
89.940,292,235
90.050,292,235
90.170,292,235
90.290,292,235
90.410,292,235
90.520,292,235
90.640,292,235
90.760,292,236
90.870,291,237
90.990,291,237
91.100,291,237
91.220,291,235
91.330,292,230
91.450,293,226
91.570,293,224
91.680,293,224
91.790,293,224
91.910,293,224
92.020,293,223
92.150,293,223
92.250,293,223
92.370,292,226
92.490,291,227
92.620,289,226
92.750,288,226
92.860,287,226
92.970,287,226
93.100,287,226
93.230,286,227
93.340,286,227
93.450,286,227
93.570,286,227
93.680,286,227
93.800,287,228
93.910,288,230
94.040,289,233
94.150,290,235
94.270,290,237
94.390,287,240
94.510,283,243
94.620,279,247
94.730,276,249
94.840,269,252
94.970,257,252
95.090,257,252
95.200,242,251
95.310,228,249
95.430,215,248
95.550,202,248
95.660,191,247
95.770,183,247
95.900,181,248
96.020,176,250
96.140,168,250
96.250,163,251
96.380,163,250
96.490,163,250
96.610,164,250
96.730,162,251
96.850,159,251
96.960,157,252
97.070,157,253
97.190,157,252
97.310,157,252
97.430,156,252
97.550,156,252
97.660,156,252
97.780,156,252
97.900,156,252
98.010,155,252
98.120,155,252
98.230,155,252
98.350,155,251
98.480,155,251
98.590,155,251
98.700,155,251
98.820,155,251
98.940,155,251
99.060,155,251
99.190,155,251
99.300,155,251
99.410,158,251
99.530,159,251
99.640,157,250
99.760,155,249
99.870,155,249
99.980,156,249
100.100,154,248
100.210,152,248
100.330,152,248
100.450,152,248
100.570,151,248
100.680,152,249
100.800,153,249
100.910,154,248
101.040,155,248
101.160,153,248
101.280,149,248
101.390,149,248
101.510,149,248
101.620,149,248
101.750,149,248
101.860,149,248
101.970,149,248
102.080,150,248
102.200,150,247
102.310,151,247
102.420,152,247
102.540,151,247
102.660,151,247
102.780,152,248
102.900,152,248
103.030,153,249
103.140,156,250
103.260,157,250
103.380,158,251
103.500,160,252
103.620,162,252
103.730,164,252
103.850,163,253
103.960,164,254
104.080,164,254
104.190,162,253
104.310,162,253
104.430,162,252
104.550,170,253
104.660,181,253
104.780,193,253
104.900,207,252
105.010,216,252
105.120,226,252
105.240,234,252
105.350,242,254
105.470,242,254
105.580,252,254
105.700,261,254
105.810,267,254
105.920,271,254
106.050,275,256
106.170,277,256
106.280,279,257
106.400,281,260
106.520,282,262
106.640,281,261
106.760,281,262
106.880,281,262
107.000,283,263
107.120,284,263
107.240,284,263
107.350,286,264
107.460,287,264
107.570,288,264
107.690,288,265
107.810,288,265
107.930,289,265
108.050,289,265
108.180,288,265
108.300,288,265
108.410,288,265
108.530,288,265
108.640,287,264
108.750,285,263
108.860,283,261
108.970,282,259
109.090,283,257
109.210,287,251
109.330,290,249
109.440,290,249
109.550,291,248
109.670,291,246
109.790,291,245
109.900,289,243
110.020,288,240
110.130,287,238
110.240,286,238
110.360,286,238
110.480,286,238
110.600,285,238
110.730,285,238
110.840,285,238
110.960,285,238
111.080,285,238
111.210,285,239
111.330,286,239
111.440,286,239
111.560,288,242
111.670,289,242
111.780,290,241
111.900,290,241
112.020,289,241
112.130,289,241
112.240,289,241
112.360,289,241
112.470,289,240
112.590,289,236
112.710,290,230
112.820,290,226
112.930,290,224
113.050,290,224
113.160,290,224
113.270,291,222
113.390,292,220
113.500,292,219
113.610,292,219
113.730,292,219
113.840,292,219
113.960,291,214
114.070,291,207
114.180,291,207
114.300,291,203
114.410,291,204
114.530,291,206
114.650,290,205
114.760,288,205
114.880,288,204
114.990,288,205
115.110,287,207
115.220,286,208
115.340,286,208
115.460,285,208
115.580,286,208
115.700,286,209
115.810,287,211
115.930,288,211
116.050,288,211
116.160,288,213
116.280,288,214
116.390,288,216
116.510,288,216
116.620,289,216
116.740,289,216
116.860,291,217
116.970,293,219
117.080,294,220
117.190,294,217
117.300,295,213
117.420,295,209
117.540,294,205
117.660,294,203
117.770,294,203
117.890,294,203
118.000,295,204
118.120,295,204
118.230,294,205
118.350,294,207
118.470,294,209
118.590,294,209
118.710,294,209
118.830,294,209
118.940,294,209
119.060,294,209
119.160,293,210
119.270,293,208
119.390,293,203
119.510,294,196
119.630,293,190
119.740,293,189
119.850,294,188
119.960,294,188
120.080,294,188
120.190,294,189
120.310,293,189
120.430,293,189
120.550,293,190
120.660,293,188
120.780,293,183
120.890,292,178
121.000,289,172
121.120,289,167
121.230,289,167
121.340,288,165
121.450,288,163
121.570,289,161
121.680,290,160
121.800,291,157
121.920,291,154
122.040,291,154
122.150,292,154
122.270,292,153
122.380,292,153
122.490,292,153
122.610,293,149
122.730,291,145
122.850,290,141
122.970,289,140
123.090,288,140
123.210,288,140
123.330,288,140
123.450,288,141
123.570,287,142
123.680,287,142
123.800,287,142
123.910,287,142
124.030,288,145
124.150,290,145
124.270,290,140
124.380,292,137
124.490,293,132
124.600,292,128
124.710,292,128
124.830,292,128
124.940,292,128
125.060,292,128
125.180,292,127
125.290,293,125
125.390,293,123
125.500,293,120
125.620,293,118
125.740,293,117
125.860,293,118
125.980,293,118
126.100,293,118
126.210,293,118
126.330,292,115
126.450,291,113
126.560,290,112
126.670,289,111
126.780,288,110
126.900,288,110
127.010,288,111
127.130,288,111
127.250,289,111
127.370,289,111
127.480,289,112
127.600,289,112
127.710,290,112
127.820,291,113
127.940,292,113
128.060,292,113
128.170,292,114
128.290,292,113
128.400,292,114
128.520,292,114
128.640,291,114
128.750,292,114
128.870,292,114
128.990,292,116
129.100,290,119
129.230,290,116
129.340,290,116
129.460,290,117
129.580,291,118
129.700,291,121
129.820,291,125
129.930,291,125
130.050,291,130
130.160,292,133
130.270,293,140
130.390,292,148
130.500,292,157
130.610,292,166
130.730,292,177
130.840,292,177
130.950,291,191
131.090,292,201
131.200,291,216
131.320,291,229
131.430,290,238
131.550,290,245
131.660,292,246
131.780,296,249
131.890,300,252
132.010,313,254
132.130,313,254
132.240,331,256
132.350,348,257
132.470,362,257
132.590,374,257
132.700,383,256
132.820,393,254
132.940,403,253
133.050,413,252
133.170,419,253
133.280,419,253
133.400,420,255
133.520,416,255
133.630,409,253
133.750,402,252
133.860,393,253
133.970,381,252
134.090,368,252
134.200,353,252
134.320,340,252
134.430,340,252
134.550,331,251
134.660,320,250
134.780,312,250
134.900,307,249
135.020,303,249
135.120,299,251
135.230,298,251
135.350,298,252
135.470,293,252
135.590,293,252
135.700,284,252
135.830,275,253
135.950,258,251
136.070,242,249
136.190,229,248
136.300,220,247
136.430,209,246
136.550,198,246
136.660,187,248
136.780,178,249
136.900,170,250
137.010,167,250
137.120,162,251
137.240,162,251
137.360,156,250
137.470,154,251
137.580,154,250
137.690,154,251
137.810,156,252
137.920,156,253
138.040,156,255
138.150,155,255
138.260,155,255
138.380,155,255
138.500,155,255
138.620,155,255
138.740,156,256
138.850,156,255
138.970,156,255
139.090,157,255
139.200,157,255
139.310,156,253
139.430,156,252
139.550,156,252
139.670,158,252
139.780,161,250
139.890,166,250
140.010,179,251
140.130,190,252
140.240,205,250
140.350,219,248
140.460,226,247
140.570,226,247
140.690,230,248
140.810,233,246
140.920,235,247
141.040,238,248
141.150,242,249
