Time,Centre position X,Centre position Y,In Brazo abierto,In brazo cerrado,In centro+
0.000,,,0,0,0
0.200,331,232,0,0,0
0.320,332,235,0,0,0
0.440,333,237,0,0,0
0.550,334,238,0,0,0
0.660,333,236,0,0,0
0.770,332,233,0,0,0
0.890,329,232,1,0,0
1.010,329,232,1,0,0
1.130,327,235,0,0,0
1.250,325,239,0,0,0
1.360,325,240,0,0,0
1.470,325,240,0,0,0
1.590,325,241,0,0,0
1.700,325,240,0,0,0
1.810,325,239,0,0,0
1.930,324,241,0,0,0
2.050,317,242,0,0,0
2.160,310,243,0,1,0
2.290,300,246,0,1,0
2.410,293,246,0,1,0
2.520,282,247,0,1,0
2.640,272,246,0,1,0
2.750,262,247,0,1,0
2.880,249,246,0,1,0
2.990,239,245,0,1,0
3.120,228,245,0,1,0
3.230,222,244,0,1,0
3.350,216,245,0,1,0
3.470,216,246,0,1,0
3.580,221,246,0,1,0
3.700,223,247,0,1,0
3.820,229,247,0,1,0
3.940,233,246,0,1,0
4.050,236,246,0,1,0
4.160,234,246,0,1,0
4.280,232,246,0,1,0
4.400,235,246,0,1,0
4.510,246,246,0,1,0
4.620,261,247,0,1,0
4.750,279,249,0,1,0
4.860,291,250,0,1,0
4.990,300,249,0,1,0
5.110,303,249,0,1,0
5.220,306,249,0,1,0
5.330,307,249,0,1,0
5.450,307,249,0,1,0
5.570,307,249,0,1,0
5.680,309,250,0,1,0
5.800,311,251,0,1,0
5.900,313,251,0,1,0
6.010,313,251,0,1,0
6.130,312,251,0,1,0
6.240,310,250,0,1,0
6.360,312,248,0,1,0
6.470,316,247,0,0,0
6.600,318,245,0,0,0
6.700,320,244,0,0,0
6.820,320,245,0,0,0
6.930,318,245,0,0,0
7.040,317,246,0,0,0
7.160,316,246,0,0,0
7.280,318,246,0,0,0
7.390,319,244,0,0,0
7.510,320,243,0,0,0
7.640,320,243,0,0,0
7.760,320,243,0,0,0
7.870,320,243,0,0,0
7.990,321,242,0,0,0
8.100,321,242,0,0,0
8.220,321,242,0,0,0
8.340,320,243,0,0,0
8.450,318,245,0,0,0
8.570,318,246,0,0,0
8.690,323,246,0,0,1
8.810,327,246,0,0,1
8.920,329,248,0,0,1
9.040,331,248,0,0,1
9.160,331,248,0,0,1
9.270,331,248,0,0,1
9.380,330,248,0,0,1
9.500,330,249,0,0,1
9.620,329,250,0,0,1
9.740,330,253,0,0,1
9.860,329,251,0,0,1
9.970,328,251,0,0,1
10.100,326,250,0,0,1
10.210,326,251,0,0,1
10.330,327,251,0,0,1
10.450,327,249,0,0,1
10.570,328,247,0,0,1
10.690,332,247,0,0,1
10.800,338,247,0,0,1
10.910,345,247,0,0,0
11.030,351,249,0,1,0
11.160,356,247,0,1,0
11.270,361,247,0,1,0
11.390,364,248,0,1,0
11.500,365,249,0,1,0
11.620,366,248,0,1,0
11.740,370,248,0,1,0
11.850,379,248,0,1,0
11.960,383,248,0,1,0
12.080,383,250,0,1,0
12.200,381,250,0,1,0
12.330,382,249,0,1,0
12.440,385,248,0,1,0
12.560,384,248,0,1,0
12.690,385,248,0,1,0
12.810,387,248,0,1,0
12.930,390,248,0,1,0
13.040,396,246,0,1,0
13.160,402,246,0,1,0
13.280,410,247,0,1,0
13.390,420,246,0,1,0
13.510,426,246,0,1,0
13.620,433,246,0,1,0
13.750,443,245,0,1,0
13.870,448,245,0,1,0
13.990,452,246,0,1,0
14.110,454,246,0,1,0
14.230,458,245,0,1,0
14.340,459,245,0,1,0
14.460,461,245,0,1,0
14.570,461,245,0,1,0
14.700,461,245,0,1,0
14.820,460,244,0,1,0
14.940,460,244,0,1,0
15.050,463,244,0,1,0
15.160,464,244,0,1,0
15.280,464,244,0,1,0
15.390,464,244,0,1,0
15.500,464,243,0,1,0
15.620,465,244,0,1,0
15.740,463,244,0,1,0
15.860,465,243,0,1,0
15.980,462,243,0,1,0
16.090,464,243,0,1,0
16.220,463,244,0,1,0
16.330,465,244,0,1,0
16.450,463,244,0,1,0
16.570,465,244,0,1,0
16.690,468,244,0,1,0
16.810,469,244,0,1,0
16.920,469,244,0,1,0
17.030,469,244,0,1,0
17.150,470,244,0,1,0
17.260,471,244,0,1,0
17.380,470,244,0,1,0
17.490,470,243,0,1,0
17.600,470,243,0,1,0
17.710,471,242,0,1,0
17.830,469,241,0,1,0
17.940,470,241,0,1,0
18.050,471,242,0,1,0
18.180,471,242,0,1,0
18.300,472,242,0,1,0
18.410,470,242,0,1,0
18.530,466,243,0,1,0
18.650,462,244,0,1,0
18.760,458,244,0,1,0
18.870,453,245,0,1,0
18.990,449,245,0,1,0
19.100,443,244,0,1,0
19.220,434,245,0,1,0
19.330,422,245,0,1,0
19.450,409,244,0,1,0
19.560,401,244,0,1,0
19.680,391,244,0,1,0
