Time,Centre position X,Centre position Y
0.000,,
0.210,334,227
0.340,333,235
0.450,332,244
0.570,330,249
0.680,330,253
0.790,330,257
0.910,330,263
1.030,328,270
1.140,328,273
1.260,328,271
1.380,332,267
1.500,334,267
1.600,334,267
1.720,334,267
1.840,334,267
1.950,334,266
2.050,332,265
2.170,331,268
2.290,329,272
2.410,329,272
2.530,329,273
2.640,328,273
2.770,328,273
2.890,328,273
3.000,329,274
3.120,330,275
3.240,330,280
3.360,330,289
3.480,329,298
3.600,329,305
3.720,329,313
3.840,329,319
3.950,329,326
4.060,330,333
4.180,332,339
4.310,332,343
4.420,333,343
4.540,332,341
4.650,330,335
4.770,330,333
4.890,329,337
5.010,329,342
5.120,328,347
5.230,327,348
5.360,327,348
5.480,329,345
5.590,330,349
5.700,331,353
5.820,331,348
5.940,330,344
6.060,330,345
6.180,329,346
6.290,329,346
6.410,328,347
6.530,326,344
6.640,327,343
6.750,328,338
6.860,331,330
6.980,334,323
7.100,336,310
7.200,336,301
7.330,336,288
7.440,336,278
7.570,336,267
7.680,337,260
7.800,337,259
7.910,338,257
8.030,339,256
8.150,341,254
8.260,342,253
8.380,342,254
8.490,342,254
8.610,342,254
8.730,342,254
8.840,341,255
8.960,340,254
9.070,340,252
9.190,339,250
9.310,337,247
9.430,336,246
9.540,336,247
9.650,335,246
9.770,335,245
9.890,334,245
10.000,335,247
10.120,338,253
10.240,339,254
10.360,342,254
10.470,344,253
10.590,349,252
10.700,354,251
10.820,360,251
10.930,369,252
11.040,372,252
11.150,373,252
11.270,373,251
11.390,381,249
11.510,392,248
11.620,398,248
11.740,407,249
11.870,416,250
11.980,423,251
12.090,424,251
12.210,423,252
12.320,423,252
12.440,424,251
12.550,428,250
12.650,430,250
12.770,433,250
12.880,436,250
12.990,439,250
13.110,443,249
13.220,448,248
13.330,452,246
13.440,454,246
13.560,455,247
13.670,459,247
13.790,459,247
13.900,461,248
14.020,461,248
14.140,462,247
14.250,463,248
14.360,463,248
14.480,462,247
14.600,464,248
14.710,464,248
14.840,463,248
14.950,457,247
15.070,457,248
15.180,456,249
15.290,456,250
15.410,457,250
15.530,456,249
15.640,454,247
15.760,454,247
15.880,451,245
16.000,453,247
16.110,456,249
16.230,455,249
16.340,452,247
16.470,450,247
16.580,450,247
16.690,451,247
16.800,451,247
16.920,446,248
17.030,439,249
17.150,425,250
17.260,417,250
17.380,409,251
17.500,404,252
17.650,401,252
17.770,398,252
17.880,393,251
18.010,385,250
18.120,376,248
18.240,370,247
18.360,360,245
18.470,355,245
18.590,353,244
18.710,350,243
18.830,352,244
18.940,352,245
19.050,353,245
19.160,353,245
19.280,353,245
19.390,349,244
19.510,344,243
19.630,340,242
19.750,339,242
19.870,339,242
19.980,339,242
20.090,339,242
20.200,341,243
20.310,341,244
20.420,339,246
20.540,337,248
20.650,333,249
20.780,332,250
20.900,332,250
21.010,333,251
21.130,332,253
21.250,332,253
21.360,335,251
21.460,333,250
21.580,330,251
21.690,326,250
21.810,321,249
21.930,316,249
22.040,310,250
22.150,302,249
22.260,292,249
22.370,282,248
22.490,275,248
22.610,268,248
22.720,257,247
22.850,246,247
22.970,238,247
23.080,228,246
23.200,220,246
23.310,214,245
23.420,214,245
23.530,222,246
23.660,235,247
23.780,237,249
23.890,238,249
24.010,239,249
24.120,239,248
24.250,238,248
24.370,238,248
24.490,238,249
24.600,238,250
24.720,240,248
24.840,250,247
24.960,260,247
25.080,266,248
25.190,272,249
25.310,280,251
25.420,289,253
25.540,292,254
25.660,296,254
25.770,297,254
25.890,298,255
26.010,296,254
26.130,294,253
26.250,295,254
