Time,Centre position X,Centre position Y,In Brazo abierto,In brazo cerrado,In centro+
0.000,,,0,0,0
0.210,336,132,0,0,0
0.320,335,131,0,0,0
0.440,335,131,0,0,0
0.560,335,130,0,0,0
0.660,335,129,0,0,0
0.780,335,129,0,0,0
0.900,332,131,0,0,0
1.010,332,133,0,0,0
1.140,332,134,0,0,0
1.250,331,134,0,0,0
1.370,330,134,0,0,0
1.490,331,133,0,0,0
1.600,331,133,0,0,0
1.710,331,133,0,0,0
1.830,331,132,0,0,0
1.940,331,131,0,0,0
2.060,330,129,0,0,0
2.180,330,128,0,0,0
2.310,330,126,0,0,0
2.430,330,125,0,0,0
2.550,330,125,0,0,0
2.670,331,124,0,0,0
2.800,332,122,0,0,0
2.920,333,118,0,0,0
3.020,333,114,0,0,0
3.130,332,112,0,0,0
3.240,333,107,0,0,0
3.370,333,105,0,0,0
3.480,333,105,0,0,0
3.590,333,105,0,0,0
3.710,333,105,0,0,0
3.840,333,105,0,0,0
3.960,333,105,0,0,0
4.080,333,106,0,0,0
4.190,333,104,0,0,0
4.310,332,106,0,0,0
4.430,333,106,0,0,0
4.550,333,106,0,0,0
4.670,334,106,0,0,0
4.790,332,107,0,0,0
4.900,332,104,0,0,0
5.010,331,103,0,0,0
5.120,331,102,0,0,0
5.240,330,102,0,0,0
5.370,330,102,0,0,0
5.480,331,100,0,0,0
5.590,331,99,0,0,0
5.690,330,102,0,0,0
5.820,330,102,0,0,0
5.930,331,101,0,0,0
6.050,331,100,0,0,0
6.170,330,102,0,0,0
6.290,331,101,0,0,0
6.390,330,103,0,0,0
6.510,330,103,0,0,0
6.620,331,103,0,0,0
6.730,331,103,0,0,0
6.840,332,103,0,0,0
6.950,333,103,0,0,0
7.070,333,103,0,0,0
7.190,333,103,0,0,0
7.290,333,102,0,0,0
7.410,333,101,0,0,0
7.530,332,102,0,0,0
7.650,333,102,0,0,0
7.760,333,102,0,0,0
7.870,333,103,0,0,0
7.990,332,103,0,0,0
8.100,333,104,0,0,0
8.210,332,104,0,0,0
8.330,331,106,0,0,0
8.450,331,106,0,0,0
8.570,332,106,0,0,0
8.680,331,106,0,0,0
8.800,331,106,0,0,0
8.910,331,107,0,0,0
9.030,331,108,0,0,0
9.150,331,108,0,0,0
9.260,332,111,0,0,0
9.370,332,112,0,0,0
9.490,333,113,0,0,0
9.610,333,114,0,0,0
9.720,333,115,0,0,0
9.830,331,115,0,0,0
9.950,330,116,0,0,0
10.070,329,118,0,0,0
10.180,328,118,0,0,0
10.300,328,117,0,0,0
10.410,328,117,0,0,0
10.530,328,116,0,0,0
10.650,328,116,0,0,0
10.770,328,115,0,0,0
10.890,329,114,0,0,0
11.010,328,114,0,0,0
11.120,329,113,0,0,0
11.240,329,113,0,0,0
11.350,329,112,0,0,0
11.470,329,112,0,0,0
11.580,329,112,0,0,0
11.690,330,111,0,0,0
11.810,330,111,0,0,0
11.930,330,110,0,0,0
12.040,329,111,0,0,0
12.160,330,111,0,0,0
12.270,330,110,0,0,0
12.390,330,110,0,0,0
12.510,330,109,0,0,0
12.620,330,108,0,0,0
12.750,330,106,0,0,0
12.860,330,103,0,0,0
12.970,330,102,0,0,0
13.090,332,100,0,0,0
13.200,333,101,0,0,0
13.320,334,103,0,0,0
13.440,335,102,0,0,0
13.550,335,104,0,0,0
13.670,336,105,0,0,0
13.780,336,104,0,0,0
13.900,336,104,0,0,0
14.010,336,105,0,0,0
14.130,336,105,0,0,0
14.250,336,104,0,0,0
14.360,336,103,0,0,0
14.470,335,103,0,0,0
14.600,336,103,0,0,0
14.710,334,103,0,0,0
14.840,334,102,0,0,0
14.960,336,101,0,0,0
15.090,335,103,0,0,0
15.210,335,105,0,0,0
15.320,333,107,0,0,0
15.440,332,106,0,0,0
15.550,333,107,0,0,0
15.660,333,107,0,0,0
15.760,333,108,0,0,0
15.880,333,108,0,0,0
16.000,332,110,0,0,0
16.110,331,114,0,0,0
16.220,331,119,0,0,0
16.340,331,123,0,0,0
16.450,333,130,0,0,0
16.570,332,135,0,0,0
16.690,333,143,0,0,0
16.810,334,148,0,0,0
16.920,335,152,0,0,0
17.030,335,157,0,0,0
17.140,336,161,0,0,0
17.260,336,162,0,0,0
17.370,336,161,0,0,0
17.480,335,160,0,0,0
17.600,335,159,0,0,0
17.720,335,160,0,0,0
17.820,335,160,0,0,0
17.930,336,162,0,0,0
18.050,335,167,0,0,0
18.170,335,173,0,0,0
18.280,334,179,0,0,0
18.400,334,187,0,0,0
18.520,333,192,0,0,0
18.630,331,200,0,0,0
18.750,331,205,0,0,0
18.870,332,204,0,0,0
18.980,331,207,0,0,0
19.100,330,207,0,0,0
19.220,332,207,0,0,0
19.340,334,208,0,0,0
19.460,334,214,0,0,0
19.580,334,214,0,0,0
19.700,334,214,0,0,0
19.820,334,216,0,0,0
19.940,335,220,0,0,0
20.050,336,224,0,0,0
20.170,336,228,0,0,0
20.290,335,226,0,0,0
20.400,335,226,0,0,0
20.520,334,229,0,0,0
20.630,334,233,0,0,0
20.750,332,234,0,0,0
20.860,332,234,0,0,0
20.980,332,234,0,0,0
21.100,329,238,0,0,0
21.220,324,241,0,0,0
21.340,319,242,0,0,0
21.450,312,245,0,0,0
21.560,300,246,0,1,0
21.670,287,247,0,1,0
21.790,274,247,0,1,0
21.910,269,247,0,1,0
22.030,267,246,0,1,0
22.140,267,247,0,1,0
22.270,264,247,0,1,0
22.370,260,247,0,1,0
22.490,249,248,0,1,0
22.600,242,249,0,1,0
22.720,235,249,0,1,0
22.840,237,249,0,1,0
22.950,237,249,0,1,0
23.060,235,248,0,1,0
23.190,230,249,0,1,0
23.300,224,248,0,1,0
23.420,212,248,0,1,0
23.540,207,248,0,1,0
23.660,204,246,0,1,0
23.780,200,247,0,1,0
23.900,200,248,0,1,0
24.010,198,248,0,1,0
24.120,198,249,0,1,0
24.240,198,249,0,1,0
24.360,198,248,0,1,0
24.470,201,247,0,1,0
24.600,202,247,0,1,0
24.710,202,246,0,1,0
24.820,202,246,0,1,0
24.940,202,246,0,1,0
25.050,202,247,0,1,0
25.180,200,245,0,1,0
25.300,197,244,0,1,0
25.420,197,243,0,1,0
25.540,197,243,0,1,0
25.670,197,243,0,1,0
25.780,197,243,0,1,0
25.900,197,244,0,1,0
26.010,196,243,0,1,0
26.130,197,244,0,1,0
26.250,195,243,0,1,0
26.360,195,244,0,1,0
26.480,195,245,0,1,0
26.600,195,244,0,1,0
26.710,197,244,0,1,0
26.830,197,245,0,1,0
26.950,199,246,0,1,0
27.070,199,246,0,1,0
27.190,199,246,0,1,0
27.300,198,245,0,1,0
27.410,199,244,0,1,0
27.530,204,242,0,1,0
27.640,216,240,0,1,0
27.760,225,240,0,1,0
27.870,231,241,0,1,0
27.980,233,242,0,1,0
28.100,236,243,0,1,0
28.220,243,244,0,1,0
28.340,245,246,0,1,0
28.460,245,247,0,1,0
28.580,245,247,0,1,0
28.690,244,247,0,1,0
28.820,244,247,0,1,0
28.940,245,245,0,1,0
29.060,245,244,0,1,0
29.180,257,244,0,1,0
29.300,263,244,0,1,0
29.420,263,244,0,1,0
29.530,267,244,0,1,0
29.650,274,243,0,1,0
29.760,279,243,0,1,0
29.880,281,243,0,1,0
29.990,288,243,0,1,0
30.100,292,241,0,1,0
30.220,298,241,0,1,0
30.340,302,241,0,1,0
30.460,306,240,0,1,0
30.580,307,240,0,1,0
30.700,307,241,0,1,0
30.820,309,241,0,1,0
30.930,309,241,0,1,0
31.060,311,241,0,1,0
31.170,308,241,0,1,0
31.290,311,241,0,1,0
31.400,316,241,0,0,0
31.510,319,240,0,0,0
31.630,318,240,0,0,0
31.750,318,240,0,0,0
31.870,318,240,0,0,0
31.980,318,241,0,0,0
32.100,318,240,0,0,0
32.210,319,239,0,0,0
32.330,321,238,0,0,0
32.440,321,237,0,0,0
32.570,321,238,0,0,0
32.690,320,239,0,0,0
32.800,319,239,0,0,0
32.910,319,238,0,0,0
33.030,319,238,0,0,0
33.140,319,238,0,0,0
33.260,320,238,0,0,0
33.380,320,238,0,0,0
33.500,321,238,0,0,0
33.620,320,239,0,0,0
33.730,321,240,0,0,0
33.850,323,240,0,0,0
33.960,323,241,0,0,0
34.080,326,242,0,0,0
34.190,327,243,0,0,1
34.310,330,244,0,0,1
34.420,332,244,0,0,1
34.530,333,245,0,0,1
34.650,333,247,0,0,1
34.760,334,248,0,0,1
34.870,333,248,0,0,1
34.980,332,249,0,0,1
35.100,332,251,0,0,1
35.210,332,253,0,0,1
35.330,331,253,0,0,1
35.440,329,251,0,0,1
35.560,327,251,0,0,1
35.670,326,252,0,0,1
35.790,326,253,0,0,1
35.900,325,253,0,0,1
36.030,325,253,0,0,1
36.150,325,252,0,0,1
36.270,325,252,0,0,1
36.390,327,252,0,0,1
36.500,328,249,0,0,1
36.620,329,249,0,0,1
36.730,332,249,0,0,1
36.850,333,249,0,0,1
36.970,333,249,0,0,1
37.080,333,249,0,0,1
37.200,332,249,0,0,1
37.310,333,251,0,0,1
37.420,333,251,0,0,1
37.530,333,251,0,0,1
37.650,333,252,0,0,1
37.770,332,251,0,0,1
37.880,333,251,0,0,1
38.000,333,252,0,0,1
38.110,333,251,0,0,1
38.230,333,251,0,0,1
38.350,333,251,0,0,1
38.460,330,249,0,0,1
38.580,329,245,0,0,1
38.700,330,244,0,0,1
38.820,336,243,0,0,1
38.940,339,244,0,0,1
39.050,340,244,0,0,0
39.160,344,244,0,0,0
39.280,355,242,0,1,0
39.380,365,242,0,1,0
39.500,374,241,0,1,0
39.620,384,240,0,1,0
39.740,396,240,0,1,0
39.850,404,240,0,1,0
39.960,415,241,0,1,0
40.080,429,244,0,1,0
40.210,442,245,0,1,0
40.320,450,246,0,1,0
40.440,459,247,0,1,0
40.550,465,248,0,1,0
40.670,468,248,0,1,0
40.800,469,250,0,1,0
40.900,471,249,0,1,0
41.020,471,249,0,1,0
41.140,474,249,0,1,0
41.260,473,248,0,1,0
41.380,473,249,0,1,0
41.490,473,249,0,1,0
41.610,472,249,0,1,0
41.730,470,249,0,1,0
41.850,467,250,0,1,0
41.970,469,250,0,1,0
42.080,469,249,0,1,0
42.190,470,248,0,1,0
42.300,471,248,0,1,0
42.410,473,246,0,1,0
42.520,473,244,0,1,0
42.640,470,242,0,1,0
42.760,469,242,0,1,0
42.870,465,242,0,1,0
42.980,460,242,0,1,0
43.090,458,242,0,1,0
43.210,456,244,0,1,0
43.320,450,245,0,1,0
43.430,443,248,0,1,0
43.550,440,250,0,1,0
43.670,438,248,0,1,0
43.790,436,249,0,1,0
43.900,434,249,0,1,0
44.020,435,248,0,1,0
44.140,437,248,0,1,0
44.250,438,249,0,1,0
44.360,437,249,0,1,0
44.470,438,248,0,1,0
44.590,437,249,0,1,0
44.700,441,250,0,1,0
44.820,442,250,0,1,0
44.930,440,250,0,1,0
45.050,440,251,0,1,0
45.170,441,251,0,1,0
45.290,443,252,0,1,0
45.410,436,249,0,1,0
45.530,435,250,0,1,0
45.640,433,251,0,1,0
45.760,426,249,0,1,0
45.870,415,248,0,1,0
45.980,399,245,0,1,0
46.100,385,244,0,1,0
46.230,370,242,0,1,0
46.340,365,242,0,1,0
46.460,361,241,0,1,0
46.560,360,241,0,1,0
46.680,361,241,0,1,0
46.800,362,241,0,1,0
46.910,364,241,0,1,0
47.030,363,241,0,1,0
47.140,365,241,0,1,0
47.250,365,241,0,1,0
47.370,362,241,0,1,0
47.490,362,241,0,1,0
47.600,361,242,0,1,0
47.720,359,244,0,1,0
47.830,357,245,0,1,0
47.950,355,246,0,1,0
48.060,356,246,0,1,0
48.180,357,245,0,1,0
48.300,357,246,0,1,0
48.420,357,245,0,1,0
48.540,358,247,0,1,0
48.650,357,247,0,1,0
48.770,355,247,0,1,0
48.880,353,248,0,1,0
48.990,349,249,0,1,0
49.100,347,250,0,1,0
49.220,347,250,0,1,0
49.340,347,250,0,1,0
49.460,347,250,0,1,0
49.570,347,250,0,1,0
49.690,347,250,0,1,0
49.810,346,250,0,1,0
49.930,347,250,0,1,0
50.050,347,250,0,1,0
50.160,346,250,0,1,0
50.290,347,250,0,1,0
50.400,346,250,0,1,0
50.520,347,250,0,1,0
50.630,347,250,0,1,0
50.730,347,250,0,1,0
50.850,347,250,0,1,0
50.970,347,250,0,1,0
51.090,347,250,0,1,0
51.200,347,250,0,1,0
51.330,347,250,0,1,0
51.450,348,250,0,1,0
51.560,346,251,0,1,0
51.680,343,253,0,0,0
51.790,341,254,0,0,0
51.900,339,255,0,0,0
52.010,339,254,0,0,0
52.130,338,254,0,0,0
52.250,338,254,0,0,0
52.370,340,251,0,0,0
52.480,337,249,0,0,0
52.600,335,249,0,0,1
52.710,326,248,0,0,1
52.830,316,247,0,0,0
52.950,301,245,0,1,0
53.060,287,244,0,1,0
53.170,276,244,0,1,0
53.290,261,246,0,1,0
53.410,250,247,0,1,0
53.530,247,247,0,1,0
53.650,243,246,0,1,0
53.770,234,245,0,1,0
53.880,218,244,0,1,0
54.000,209,243,0,1,0
54.110,203,243,0,1,0
54.220,200,244,0,1,0
54.330,201,245,0,1,0
54.460,202,245,0,1,0
54.570,203,245,0,1,0
54.680,202,246,0,1,0
54.790,202,246,0,1,0
54.910,202,246,0,1,0
55.030,202,247,0,1,0
55.150,203,246,0,1,0
55.270,204,247,0,1,0
55.380,202,247,0,1,0
55.510,201,246,0,1,0
55.630,201,245,0,1,0
55.740,201,244,0,1,0
55.860,200,244,0,1,0
55.960,200,245,0,1,0
56.080,199,246,0,1,0
56.190,199,245,0,1,0
56.300,201,244,0,1,0
56.400,203,244,0,1,0
56.520,202,244,0,1,0
56.640,202,244,0,1,0
56.770,202,244,0,1,0
56.890,202,244,0,1,0
57.000,203,244,0,1,0
57.130,204,245,0,1,0
57.230,204,246,0,1,0
57.350,204,245,0,1,0
57.470,211,245,0,1,0
57.590,220,244,0,1,0
57.710,226,242,0,1,0
57.830,230,242,0,1,0
57.940,236,242,0,1,0
58.060,237,242,0,1,0
58.180,239,242,0,1,0
58.310,240,242,0,1,0
58.410,241,242,0,1,0
58.530,241,241,0,1,0
58.650,241,241,0,1,0
58.760,240,241,0,1,0
58.880,241,241,0,1,0
59.000,240,242,0,1,0
59.120,238,242,0,1,0
59.240,242,241,0,1,0
59.360,251,241,0,1,0
59.470,261,242,0,1,0
59.590,268,242,0,1,0
59.700,276,243,0,1,0
59.810,283,244,0,1,0
59.930,286,243,0,1,0
60.040,292,245,0,1,0
60.160,300,244,0,1,0
60.270,305,243,0,1,0
60.390,306,244,0,1,0
60.500,305,244,0,1,0
60.620,303,244,0,1,0
60.730,304,244,0,1,0
60.850,304,244,0,1,0
60.980,304,244,0,1,0
61.090,304,244,0,1,0
61.200,304,244,0,1,0
61.310,304,243,0,1,0
61.430,305,243,0,1,0
61.540,306,243,0,1,0
61.660,305,243,0,1,0
61.780,306,243,0,1,0
61.890,306,242,0,1,0
62.010,306,242,0,1,0
62.120,305,243,0,1,0
62.230,305,242,0,1,0
62.340,307,242,0,1,0
62.460,305,242,0,1,0
62.580,306,242,0,1,0
62.710,306,243,0,1,0
62.850,299,245,0,1,0
62.960,306,243,0,1,0
63.070,304,243,0,1,0
63.190,307,242,0,1,0
63.310,312,243,0,1,0
63.430,313,242,0,1,0
63.540,313,242,0,1,0
63.660,313,242,0,1,0
63.780,312,242,0,1,0
63.910,313,242,0,1,0
64.020,313,242,0,1,0
64.140,312,242,0,1,0
64.260,312,242,0,1,0
64.370,312,242,0,1,0
64.480,312,242,0,1,0
64.600,312,242,0,1,0
64.710,314,241,0,1,0
64.820,315,241,0,0,0
64.940,316,241,0,0,0
65.060,317,240,0,0,0
65.180,319,240,0,0,0
65.290,319,239,0,0,0
65.410,319,239,0,0,0
65.520,319,239,0,0,0
65.630,319,239,0,0,0
65.740,320,239,0,0,0
65.870,319,239,0,0,0
65.990,318,239,0,0,0
66.100,318,239,0,0,0
66.220,319,238,0,0,0
66.330,319,239,0,0,0
66.460,319,239,0,0,0
66.570,319,239,0,0,0
66.690,320,239,0,0,0
66.800,320,238,0,0,0
66.910,319,239,0,0,0
67.040,319,239,0,0,0
67.150,319,240,0,0,0
67.250,317,241,0,0,0
67.360,319,243,0,0,0
67.480,321,242,0,0,0
67.600,322,242,0,0,0
67.710,322,243,0,0,0
67.830,320,243,0,0,0
67.960,320,244,0,0,0
68.070,319,245,0,0,0
68.180,320,246,0,0,0
68.310,321,247,0,0,1
68.420,320,246,0,0,1
68.530,318,245,0,0,1
68.650,318,245,0,0,0
68.760,317,245,0,0,0
68.880,315,246,0,0,0
69.000,317,246,0,0,0
69.120,317,245,0,0,0
69.230,318,245,0,0,0
69.340,319,246,0,0,0
69.460,319,247,0,0,0
69.570,320,247,0,0,0
69.700,319,247,0,0,0
69.810,321,250,0,0,0
69.920,321,251,0,0,0
70.030,321,251,0,0,0
70.150,322,251,0,0,0
70.270,323,255,0,0,0
70.390,322,256,0,0,0
70.500,322,255,0,0,0
70.620,321,254,0,0,0
70.740,320,253,0,0,0
70.860,320,254,0,0,0
70.970,320,253,0,0,0
71.090,320,253,0,0,0
71.210,320,253,0,0,0
71.320,320,253,0,0,0
71.440,320,253,0,0,0
71.550,320,251,0,0,0
71.670,319,247,0,0,0
71.790,322,246,0,0,0
71.910,331,245,0,0,1
72.030,344,245,0,0,0
72.150,358,245,0,1,0
72.260,371,244,0,1,0
72.370,382,242,0,1,0
72.490,383,243,0,1,0
72.610,391,242,0,1,0
72.730,398,241,0,1,0
72.850,408,242,0,1,0
72.970,418,241,0,1,0
73.100,422,242,0,1,0
73.220,431,242,0,1,0
73.330,443,242,0,1,0
73.450,451,243,0,1,0
73.560,460,244,0,1,0
73.680,466,245,0,1,0
73.800,469,246,0,1,0
73.920,468,244,0,1,0
74.040,467,243,0,1,0
74.160,469,242,0,1,0
74.280,470,241,0,1,0
74.400,469,241,0,1,0
74.530,470,242,0,1,0
74.650,470,242,0,1,0
74.760,470,243,0,1,0
74.890,467,244,0,1,0
75.000,467,244,0,1,0
75.110,466,243,0,1,0
75.230,467,243,0,1,0
75.350,468,243,0,1,0
75.470,469,242,0,1,0
75.590,473,241,0,1,0
75.720,474,245,0,1,0
75.820,475,246,0,1,0
75.940,475,246,0,1,0
76.060,475,246,0,1,0
76.170,475,245,0,1,0
76.300,475,246,0,1,0
76.410,475,245,0,1,0
76.530,476,246,0,1,0
76.650,476,247,0,1,0
76.760,475,247,0,1,0
76.890,475,246,0,1,0
77.010,475,246,0,1,0
77.120,475,246,0,1,0
77.240,476,246,0,1,0
77.350,475,246,0,1,0
77.470,475,246,0,1,0
