Time,Centre position X,Centre position Y
0.000,,
0.210,270,245
0.320,270,245
0.440,270,244
0.550,272,245
0.670,272,245
0.790,275,246
0.910,279,246
1.040,285,246
1.150,285,245
1.280,285,245
1.390,286,244
1.510,287,242
1.630,289,239
1.740,289,237
1.850,289,237
1.970,289,237
2.080,288,238
2.200,288,238
2.310,288,238
2.430,287,238
2.550,286,239
2.660,285,240
2.770,286,239
2.890,285,238
3.010,286,234
3.130,285,232
3.240,283,231
3.370,283,231
3.490,283,231
3.600,283,232
3.720,283,234
3.840,282,236
3.950,282,236
4.070,283,236
4.190,285,234
4.310,286,227
4.430,288,222
4.540,288,217
4.660,288,214
4.780,288,215
4.890,288,215
5.000,289,216
5.130,289,216
5.250,287,220
5.360,286,224
5.470,287,225
5.590,288,226
5.710,287,226
5.820,286,228
5.930,285,231
6.040,284,231
6.160,287,234
6.280,293,240
6.390,302,245
6.500,314,247
6.620,330,248
6.730,344,248
6.850,359,248
6.960,375,249
7.070,390,250
7.190,390,250
7.310,401,252
7.430,408,253
7.540,410,252
7.650,414,251
7.770,419,249
7.880,423,248
8.000,427,250
8.110,426,249
8.230,426,249
8.350,426,248
8.470,424,247
8.580,421,246
8.700,417,245
8.830,415,245
8.950,414,244
9.070,415,245
9.180,417,245
9.290,418,244
9.400,417,244
9.520,417,244
9.640,420,245
9.750,419,245
9.870,416,245
10.000,413,245
10.120,410,245
10.230,403,246
10.340,395,247
10.460,386,248
10.580,381,249
10.700,381,250
10.820,381,250
10.930,381,250
11.050,381,250
11.170,380,249
11.290,372,249
11.400,363,248
11.530,354,247
11.650,345,246
11.760,343,245
11.880,341,245
12.000,338,245
12.100,335,245
12.230,330,244
12.350,324,245
12.460,324,245
12.570,321,245
12.680,316,245
12.800,315,245
12.910,314,245
13.030,313,245
13.140,313,244
13.260,312,244
13.380,312,244
13.500,312,244
13.620,312,244
13.730,310,244
13.860,306,243
13.960,300,243
14.090,297,242
14.190,294,242
14.310,293,242
14.430,292,241
14.550,291,241
14.670,291,243
14.780,287,244
14.900,287,244
15.010,286,245
15.120,285,246
15.230,285,246
15.360,285,246
15.470,285,246
15.580,281,247
15.690,274,249
15.810,265,251
15.940,254,253
16.050,235,254
16.170,235,254
16.290,223,253
16.400,209,254
16.530,204,254
16.650,197,254
16.770,187,254
16.890,178,255
17.000,170,254
17.120,166,253
17.240,165,254
17.350,161,254
17.480,160,254
17.590,160,254
17.700,160,254
17.820,160,254
17.940,159,254
18.060,158,255
18.170,159,255
18.290,159,254
18.400,158,254
18.530,157,254
18.650,157,254
18.770,157,254
18.890,157,254
19.000,156,254
19.110,156,254
19.210,155,254
19.330,155,254
19.440,155,253
19.560,155,253
19.680,155,253
19.790,153,251
19.900,152,251
20.020,151,251
20.140,151,251
20.260,150,251
20.380,151,252
20.500,153,252
20.620,154,252
20.740,155,252
20.850,154,251
20.960,152,250
21.080,151,250
21.190,151,250
21.310,151,250
21.430,153,250
21.550,156,248
21.660,159,247
21.780,163,246
21.910,167,246
22.030,168,246
22.140,167,246
22.250,167,245
22.360,167,245
22.480,167,245
22.590,167,245
22.700,167,246
22.820,169,246
22.940,174,246
23.060,182,246
23.170,190,246
23.280,199,246
23.390,209,245
23.500,220,245
23.620,220,245
23.730,230,244
23.860,241,244
23.970,246,244
24.090,255,246
24.200,262,247
24.320,268,250
24.440,266,249
24.560,266,249
24.670,266,249
24.780,266,250
24.900,266,250
25.020,265,250
25.140,266,250
25.260,270,250
25.360,274,250
25.470,274,249
25.590,276,247
25.710,279,247
25.820,277,247
25.940,276,247
26.060,277,246
26.170,277,246
26.290,277,244
26.410,277,242
26.530,277,242
26.650,276,244
26.760,279,245
26.870,287,245
26.990,295,246
27.110,305,246
27.240,322,246
27.350,339,247
27.470,357,246
27.590,376,245
27.710,376,245
27.830,392,246
27.960,402,246
28.080,408,246
28.190,413,245
28.310,421,244
28.420,429,245
28.530,430,246
28.650,430,247
28.760,430,247
28.880,429,249
28.990,429,249
29.100,427,250
29.220,425,250
29.330,421,250
29.450,421,252
29.570,417,251
29.690,414,250
29.810,411,250
29.920,410,250
30.040,406,249
30.150,398,250
30.270,398,250
30.380,391,250
30.500,383,250
30.610,371,249
30.720,359,249
30.840,346,249
30.950,338,249
31.060,330,248
31.180,324,248
31.300,324,248
31.420,320,248
31.530,315,248
31.650,312,248
31.760,309,247
31.870,306,247
31.990,303,247
32.110,301,246
32.220,300,246
32.330,296,247
