Time,Centre position X,Centre position Y
0.000,,
0.790,222,240
1.020,216,240
1.140,227,240
1.410,218,240
1.630,218,240
1.770,300,213
1.890,300,213
1.990,300,213
2.140,300,213
2.250,300,213
2.380,300,213
2.550,300,213
2.670,300,213
2.780,300,213
2.900,300,213
3.020,300,213
3.140,300,213
3.250,300,213
3.360,300,213
3.540,300,213
3.750,300,213
3.870,300,213
3.990,300,213
4.100,300,213
4.220,300,213
4.340,300,213
4.470,300,225
4.590,300,213
4.700,300,213
4.820,300,225
4.940,300,220
5.060,300,213
5.180,300,225
5.300,300,225
5.400,300,225
5.550,300,213
5.670,300,213
5.780,300,225
5.890,300,225
6.000,300,225
6.290,300,225
7.920,165,255
8.040,169,254
8.160,171,254
8.280,172,254
8.390,175,253
8.500,180,252
8.620,188,252
8.740,192,252
8.860,196,252
8.970,210,254
9.090,217,252
9.200,223,253
9.310,228,252
9.430,232,252
9.540,236,252
9.660,237,251
9.780,239,250
9.890,241,251
10.000,242,251
10.500,243,250
10.610,244,250
10.900,274,246
11.810,278,241
11.930,279,240
12.040,280,239
12.160,280,240
12.270,280,239
12.380,280,240
12.490,279,240
12.600,280,239
12.710,280,240
12.830,280,240
12.950,277,239
13.070,276,238
13.190,277,238
13.300,277,238
13.420,277,238
13.710,277,238
13.830,276,239
14.000,280,245
14.110,282,250
14.220,284,250
14.340,286,251
14.470,287,253
14.590,289,253
14.700,289,253
14.820,288,253
14.940,287,255
15.050,287,256
15.160,287,257
15.270,287,257
15.380,286,256
15.490,285,253
15.600,288,251
15.710,291,250
15.820,291,251
15.930,294,251
16.040,296,250
16.160,300,250
16.270,311,252
16.390,323,252
16.500,322,253
16.610,321,253
16.720,323,253
16.830,323,253
16.950,326,252
17.060,333,251
17.170,341,249
17.280,341,250
17.410,341,250
17.510,345,249
17.630,358,249
17.740,369,249
17.860,379,250
17.980,389,250
18.100,395,250
18.220,400,248
18.320,400,249
18.430,402,249
18.530,404,249
18.650,405,251
18.770,405,252
18.890,403,252
19.000,400,253
19.110,399,253
19.230,399,252
19.340,399,252
19.460,400,253
19.570,400,252
19.680,400,253
19.790,400,252
19.910,398,252
20.030,396,251
20.140,390,250
20.250,383,249
20.360,370,250
20.490,359,250
20.600,359,250
20.720,361,250
20.830,362,250
20.940,362,250
21.050,362,250
21.180,363,250
21.290,363,250
21.400,365,250
21.510,365,250
21.620,366,250
21.740,365,250
21.860,365,250
21.980,366,250
22.090,365,250
22.210,365,250
22.330,365,250
22.440,363,250
22.560,361,251
22.690,355,252
22.800,347,252
22.920,340,251
23.030,332,250
23.150,323,249
23.260,317,248
23.380,313,249
23.500,313,249
23.630,315,249
23.740,312,250
23.850,308,250
23.970,305,251
24.100,306,251
24.210,306,251
24.310,304,252
24.440,303,252
24.550,303,253
24.660,304,252
24.780,305,252
24.890,303,250
25.010,300,250
25.120,297,249
25.230,295,249
25.350,295,249
25.460,294,249
25.580,295,249
25.690,290,248
25.810,286,248
25.920,281,246
26.040,248,246
26.150,241,248
26.270,227,250
26.380,216,250
26.490,207,251
26.610,201,251
26.720,194,252
26.830,188,252
26.960,183,253
27.070,183,254
27.200,182,253
27.320,181,254
27.430,180,254
27.550,180,255
27.670,181,256
27.790,181,256
27.900,181,257
28.020,181,257
28.130,180,257
28.250,181,257
28.360,182,255
28.460,183,253
28.570,181,252
28.680,176,252
28.800,169,252
28.910,168,251
29.040,168,252
29.150,167,251
29.270,166,252
