Time,Centre position X,Centre position Y,In Brazo Abierto,In Brazo Cerrado,In centro+
0.000,,,1,0,0
0.230,289,255,1,0,0
0.350,290,254,1,0,0
0.470,290,254,1,0,0
0.590,290,254,1,0,0
0.710,290,254,1,0,0
0.830,290,253,1,0,0
0.960,290,253,1,0,0
1.070,291,254,1,0,0
1.190,292,257,1,0,0
1.310,290,258,1,0,0
1.430,289,261,1,0,0
1.540,287,265,1,0,0
1.660,287,266,1,0,0
1.780,286,266,1,0,0
1.890,286,268,1,0,0
2.000,285,268,1,0,0
2.120,284,267,1,0,0
2.230,284,266,1,0,0
2.350,284,266,1,0,0
2.460,284,266,1,0,0
2.580,284,266,1,0,0
2.700,285,266,1,0,0
2.820,285,267,1,0,0
2.940,286,266,1,0,0
3.060,286,264,1,0,0
3.160,286,263,1,0,0
3.290,286,263,1,0,0
3.400,286,262,1,0,0
3.510,286,262,1,0,0
3.630,287,261,1,0,0
3.750,287,262,1,0,0
3.870,287,262,1,0,0
3.970,287,261,1,0,0
4.090,287,259,1,0,0
4.210,287,256,1,0,0
4.320,287,254,1,0,0
4.440,287,252,1,0,0
4.550,287,250,1,0,0
4.660,288,250,1,0,0
4.790,290,252,1,0,0
4.910,290,254,1,0,0
5.020,291,258,1,0,0
5.140,290,258,1,0,0
5.250,290,260,1,0,0
5.370,288,263,1,0,0
5.490,287,265,1,0,0
5.600,287,267,1,0,0
5.720,286,267,1,0,0
5.850,286,268,1,0,0
5.970,286,268,1,0,0
6.090,286,268,1,0,0
6.210,286,268,1,0,0
6.330,286,272,1,0,0
6.440,285,274,1,0,0
6.560,285,276,1,0,0
6.690,285,278,1,0,0
6.800,285,280,1,0,0
6.920,287,281,1,0,0
7.040,287,288,1,0,0
7.160,289,293,1,0,0
7.280,291,296,1,0,0
7.400,292,301,0,0,0
7.520,295,303,0,0,0
7.630,296,305,0,0,0
7.740,296,306,0,0,0
7.870,295,306,0,0,0
7.980,295,304,0,0,0
8.090,297,303,0,0,0
8.200,303,306,0,0,0
8.320,308,307,0,1,0
8.430,314,308,0,1,0
8.550,319,308,0,1,0
8.670,329,307,0,1,0
8.780,337,307,0,1,0
10.370,408,308,0,1,0
10.630,409,310,0,1,0
10.750,407,311,0,1,0
10.860,404,311,0,1,0
10.970,405,312,0,1,0
11.080,406,311,0,1,0
11.190,408,311,0,1,0
11.310,411,313,0,1,0
11.430,413,314,0,1,0
11.540,413,314,0,1,0
11.660,409,310,0,1,0
11.780,408,310,0,1,0
11.900,407,311,0,1,0
12.020,399,309,0,1,0
12.140,389,309,0,1,0
12.260,374,308,0,1,0
12.370,370,308,0,1,0
12.500,367,308,0,1,0
12.610,365,308,0,1,0
12.730,361,309,0,1,0
12.850,363,311,0,1,0
12.960,364,310,0,1,0
13.080,364,310,0,1,0
13.210,368,309,0,1,0
13.320,369,307,0,1,0
13.430,370,307,0,1,0
13.550,370,307,0,1,0
13.660,369,308,0,1,0
13.780,368,309,0,1,0
13.890,364,310,0,1,0
14.010,359,309,0,1,0
14.120,345,307,0,1,0
14.230,331,307,0,1,0
14.350,321,307,0,1,0
14.460,315,307,0,1,0
14.580,314,308,0,1,0
14.700,316,308,0,1,0
14.820,313,309,0,1,0
14.940,312,310,0,1,0
15.050,312,310,0,1,0
15.170,309,312,0,1,0
15.290,308,313,0,1,0
15.400,308,313,0,1,0
15.510,308,313,0,1,0
