Time,Centre position X,Centre position Y,In Brazo Abierto,In Brazo Cerrado,In centro+
0.000,,,1,0,0
0.230,290,251,1,0,0
0.360,293,253,1,0,0
0.470,293,253,1,0,0
0.590,293,253,1,0,0
0.700,293,253,1,0,0
0.810,293,253,1,0,0
0.940,293,253,1,0,0
2.010,283,252,1,0,0
2.120,281,255,1,0,0
2.240,281,257,1,0,0
2.350,282,257,1,0,0
2.460,281,256,1,0,0
2.580,281,256,1,0,0
2.700,280,256,1,0,0
2.810,279,256,1,0,0
2.920,279,256,1,0,0
3.040,279,256,1,0,0
3.150,279,255,1,0,0
3.260,279,255,1,0,0
3.380,279,255,1,0,0
3.490,279,254,1,0,0
3.600,280,255,1,0,0
3.720,280,255,1,0,0
3.830,281,253,1,0,0
3.950,281,252,1,0,0
4.080,281,252,1,0,0
4.190,281,252,1,0,0
4.310,281,252,1,0,0
4.420,281,252,1,0,0
4.530,281,252,1,0,0
4.650,281,251,1,0,0
4.770,281,252,1,0,0
4.890,281,252,1,0,0
5.010,282,251,1,0,0
5.120,282,251,1,0,0
5.250,282,252,1,0,0
5.370,283,251,1,0,0
5.490,284,250,1,0,0
5.630,284,247,1,0,0
5.940,285,234,1,0,0
6.070,288,235,1,0,0
6.210,290,237,1,0,0
6.340,291,236,1,0,0
6.450,294,234,1,0,0
6.570,294,234,1,0,0
6.690,294,233,1,0,0
6.800,295,234,1,0,0
6.910,295,234,1,0,0
7.030,295,234,1,0,0
7.140,295,234,1,0,0
7.260,295,234,1,0,0
7.370,295,234,1,0,0
7.490,294,236,1,0,0
7.850,293,239,1,0,0
8.170,280,248,1,0,0
8.290,280,247,1,0,0
8.410,282,248,1,0,0
8.650,285,253,1,0,0
8.770,287,257,1,0,0
8.870,288,258,1,0,0
8.990,289,259,1,0,0
9.100,290,259,1,0,0
9.220,290,260,1,0,0
9.340,290,261,1,0,0
9.460,290,261,1,0,0
9.570,290,261,1,0,0
9.690,290,261,1,0,0
9.800,289,260,1,0,0
9.910,287,258,1,0,0
10.020,285,259,1,0,0
10.150,283,263,1,0,0
10.260,282,268,1,0,0
10.380,281,270,1,0,0
10.490,281,270,1,0,0
10.600,281,270,1,0,0
10.710,281,270,1,0,0
10.820,280,271,1,0,0
10.940,280,272,1,0,0
11.050,279,274,1,0,0
